id,postal_code,area,city,province,aliases
9f396b4a-cac4-48fc-a075-2a554215521a,7945,COSTA DA GAMA,MUIZENBERG,Western Cape,
f30126d0-e4d1-4a8e-b7b5-1b90139e9547,7945,EASTLAKE,MUIZENBERG,Western Cape,
9b982597-cca3-47d9-8736-77b2788e27d2,7945,EASTLAKE ISLAND,MUIZENBERG,Western Cape,
6df62b9a-a246-4de4-b059-6ce52709f08b,7945,EASTLAKE VILLAGE,MUIZENBERG,Western Cape,
7875c028-900d-422c-9dd3-17eef505b375,7945,LAKESIDE,MUIZENBERG,Western Cape,
4bef02bd-cea0-4321-b18e-e37eb7ce3c61,7945,MARINA DA GAMA,MUIZENBERG,Western Cape,
a19b5a64-521c-49c7-9582-eb24f5724975,7945,MARINA EST,MUIZENBERG,Western Cape,MARINA LGD
7b1f8063-b5d5-490a-a107-3a437846bb37,7945,MARINA MOORINGS,MUIZENBERG,Western Cape,
5ec31d18-4921-4246-970f-341b56c56a98,7945,PARK ISLAND,MUIZENBERG,Western Cape,
14245a74-91d4-4b54-98bc-4f004163e747,7945,SAN MARINA,MUIZENBERG,Western Cape,
f4e3be37-b21d-4746-8e21-d89a0941c0e2,7945,ST JAMES,MUIZENBERG,Western Cape,
