id,postal_code,area,city,province,aliases
05a72f53-8c9d-4de5-9625-8acb4233ae25,2067,MAGALIES VIEW EXT 1,MAGALIES VIEW,Gauteng,MAGALIESSIG UIT 1|MAGALIESSIG
938a3543-d0e0-4df3-935c-ddc35b782783,2067,MAGALIES VIEW EXT 15,MAGALIES VIEW,Gauteng,MAGALIESSIG UIT 15|MAGALIESSIG
c1ba6f7c-628e-431f-8011-d50f632f3394,2067,MAGALIES VIEW EXT 17,MAGALIES VIEW,Gauteng,MAGALIESSIG UIT 17|MAGALIESSIG
bdbc9576-2da3-46fa-ba6b-1d7386bb1988,2067,MAGALIES VIEW EXT 22,MAGALIES VIEW,Gauteng,MAGALIESSIG UIT 22|MAGALIESSIG
5b64e7e4-d683-4be1-9257-c61715c1bf68,2067,MAGALIES VIEW EXT 24,MAGALIES VIEW,Gauteng,MAGALIESSIG UIT 24|MAGALIESSIG
cdb17e0c-55fc-4c85-89ca-5906b38629ef,2067,MAGALIES VIEW EXT 25,MAGALIES VIEW,Gauteng,MAGALIESSIG UIT 25|MAGALIESSIG
a73654da-4003-493c-85ad-0e212a674ef5,2067,MAGALIES VIEW EXT 26,MAGALIES VIEW,Gauteng,MAGALIESSIG UIT 26|MAGALIESSIG
9a50ae83-ef3f-43b5-a498-6403081257cc,2191,MAGALIES VIEW EXT 29,MAGALIES VIEW,Gauteng,MAGALIESSIG UIT 29|MAGALIESSIG
dc14e595-e4d9-4b4c-8812-4ca0b45fa6dc,2067,MAGALIES VIEW EXT 30,MAGALIES VIEW,Gauteng,MAGALIESSIG UIT 30|MAGALIESSIG
38d17126-7b3e-4dd2-928f-7cc32074e006,2067,MAGALIES VIEW EXT 31,MAGALIES VIEW,Gauteng,MAGALIESSIG UIT 31|MAGALIESSIG
8e36794b-f73f-48ff-ab96-f0ad60b1dc2f,2067,MAGALIES VIEW EXT 4,MAGALIES VIEW,Gauteng,MAGALIESSIG UIT 4|MAGALIESSIG
a25702ef-0886-417e-a037-5a7d3ca60f21,2067,MAGALIES VIEW EXT 5,MAGALIES VIEW,Gauteng,MAGALIESSIG UIT 5|MAGALIESSIG
330b2086-3c36-4491-8df8-5cfc9016a47a,2067,MAGALIES VIEW EXT 7,MAGALIES VIEW,Gauteng,MAGALIESSIG UIT 7|MAGALIESSIG
c0429b92-62a8-4f6a-84b2-8a8bd71792fb,2067,MAGALIES VIEW EXT 8,MAGALIES VIEW,Gauteng,MAGALIESSIG UIT 8|MAGALIESSIG
c332ad6a-b11a-41ae-a408-242ec0dc8585,2067,MAGALIES VIEW EXT 9,MAGALIES VIEW,Gauteng,MAGALIESSIG UIT 9|MAGALIESSIG
