id,postal_code,area,city,province,aliases
cd85e079-901d-483a-a46a-378a691c5001,1245,KABOKWENI,WHITE RIVER,Mpumalanga,WITRIVIER
d9cb2bff-5126-4268-8fd5-4b6d7b5accfb,1240,KINGSVIEW,WHITE RIVER,Mpumalanga,KINGSVIEW|WITRIVIER
8783f6ec-de82-4c4c-b4d4-b5f70e0ccff1,1240,KINGSVIEW EXT 1,WHITE RIVER,Mpumalanga,KINGSVIEW UIT 1|WITRIVIER
32817257-e29d-4253-804f-13492a727280,1240,KINGSVIEW EXT 3,WHITE RIVER,Mpumalanga,KINGSVIEW UIT 3|WITRIVIER
4fbe6bc2-37a1-4bc0-abe4-016403c07791,1257,LEGOGOTE,WHITE RIVER,Mpumalanga,
10a54dd4-62e3-484b-b6b5-cf403cf545ef,1256,MALEKUTU,WHITE RIVER,Mpumalanga,WITRIVIER
08020301-150a-409b-8deb-8326741154ab,1240,MGANDUZWENI,WHITE RIVER,Mpumalanga,WITRIVIER
96923dad-80ba-4b28-a6a4-84d407e5cd76,1254,SWALALA,WHITE RIVER,Mpumalanga,
f58075e0-8274-40f3-afa4-02fda08d46fb,1240,WHITE RIVER EXT,WHITE RIVER,Mpumalanga,WITRIVIER UIT|WITRIVIER
c5594e67-739d-4e52-8d9a-a7f53de96b09,1240,WHITE RIVER EXT 1,WHITE RIVER,Mpumalanga,WITRIVIER UIT 1|WITRIVIER
a881c682-2a1a-40fd-9785-e3b5d802d1f8,1240,WHITE RIVER EXT 10,WHITE RIVER,Mpumalanga,WITRIVIER UIT 10|WITRIVIER
ad01a6d9-f04a-4308-be79-e56ebce868c9,1240,WHITE RIVER EXT 11,WHITE RIVER,Mpumalanga,WITRIVIER UIT 11|WITRIVIER
aea332c5-f679-4a49-86f9-9c3ded1e54b5,1240,WHITE RIVER EXT 12,WHITE RIVER,Mpumalanga,WITRIVIER UIT 12|WITRIVIER
d7f0c965-cc2d-4d0c-8922-97e0f6fda4ff,1240,WHITE RIVER EXT 13,WHITE RIVER,Mpumalanga,WITRIVIER UIT 13|WITRIVIER
7a2bacc9-e512-4506-a59b-c6592ee4786f,1240,WHITE RIVER EXT 14,WHITE RIVER,Mpumalanga,WITRIVIER UIT 14|WITRIVIER
1ea12844-7ff7-4bb7-b397-0780250b6f37,1240,WHITE RIVER EXT 15,WHITE RIVER,Mpumalanga,WITRIVIER UIT 15|WITRIVIER
4769cb7e-68e6-4cd4-85ff-67d4e003da9f,1240,WHITE RIVER EXT 16,WHITE RIVER,Mpumalanga,WITRIVIER UIT 16|WITRIVIER
a8409f06-d20a-4425-b281-6202b31494ad,1240,WHITE RIVER EXT 17,WHITE RIVER,Mpumalanga,WITRIVIER UIT 17|WITRIVIER
29d52ff8-d7bb-4d74-bd6f-1bd71155fb7f,1240,WHITE RIVER EXT 18,WHITE RIVER,Mpumalanga,WITRIVIER UIT 18|WITRIVIER
1364ba4b-5f99-4239-8627-c31281c64fac,1240,WHITE RIVER EXT 19,WHITE RIVER,Mpumalanga,WITRIVIER UIT 19|WITRIVIER
a90567b8-34d3-4930-9888-5735829b6c20,1240,WHITE RIVER EXT 2,WHITE RIVER,Mpumalanga,WITRIVIER UIT 2|WITRIVIER
28e12fc8-af4f-4b57-87c3-b1cb1e320a5b,1240,WHITE RIVER EXT 20,WHITE RIVER,Mpumalanga,WITRIVIER UIT 20|WITRIVIER
68641ffc-f0d4-46e5-b300-70c6f936bc1a,1240,WHITE RIVER EXT 21,WHITE RIVER,Mpumalanga,WITRIVIER UIT 21|WITRIVIER
2267fb6d-9d46-4956-9018-6e8dfd8761a0,1240,WHITE RIVER EXT 22,WHITE RIVER,Mpumalanga,WITRIVIER UIT 22|WITRIVIER
1430149b-bb5b-41f1-b59f-02a095d6ca08,1240,WHITE RIVER EXT 23,WHITE RIVER,Mpumalanga,WITRIVIER UIT 23|WITRIVIER
